Resort Inspired Swimming Pools Selected
Sundeck and Fire Pit Area
Relaxing and Invigorating Spa
BBQ Grill and Cabanas
Fitness Center
Free Weights
Yoga Studio
Recreation Room
Beautiful Clubhouse
Beautiful Landscaping
Outdoor Activity Areas
"Amazing Location- close to a great mix of shopping, dining, entertainment, and more"
Easy Access to 405 and 605 Freeways
Online Rent Payments Available
Pet Friendly
Well Appointed Laundry Centers
Daily Courtesy Patrol
24-Hour On-Site Emergency Maintenance
On-Site Management
Short Term Lease
